name,category,rule_order,node_count,max_classes,stop,hit_class_cap,live_before,closure_unions,live_after,reduction_frac,cost_before,cost_after,cost_change_frac,would_avoid_cap
glyph32:U+005C,glyph,production,127,5000,Timeout,false,447,37,410,0.082774,166,147,-0.114458,false
glyph32:U+005D,glyph,production,183,5000,Quiesced,false,177,0,177,0.000000,244,244,0.000000,false
glyph32:U+005E,glyph,production,199,5000,ClassCap,true,420,0,420,0.000000,319,319,0.000000,true
glyph32:U+005F,glyph,production,119,5000,Timeout,false,321,0,321,0.000000,129,129,0.000000,false
glyph32:U+0060,glyph,production,1722,5000,ClassCap,true,1342,0,1342,0.000000,2827,2827,0.000000,true
glyph32:U+0061,glyph,production,5743,5000,ClassCap,true,3007,0,3007,0.000000,10612,10612,0.000000,true
glyph32:U+0062,glyph,production,5129,5000,ClassCap,true,2824,0,2824,0.000000,9434,9434,0.000000,true
glyph32:U+0063,glyph,production,4671,5000,ClassCap,true,2700,0,2700,0.000000,8419,8419,0.000000,true
glyph32:U+0064,glyph,production,5864,5000,ClassCap,true,3022,0,3022,0.000000,10763,10763,0.000000,true
glyph32:U+0065,glyph,production,4872,5000,ClassCap,true,2751,0,2751,0.000000,8766,8766,0.000000,true
glyph32:U+0066,glyph,production,2364,5000,ClassCap,true,1682,5,1677,0.002973,3955,3955,0.000000,true
glyph32:U+0067,glyph,production,7009,5000,ClassCap,true,3208,0,3208,0.000000,12799,12799,0.000000,true
glyph32:U+0068,glyph,production,2931,5000,ClassCap,true,2082,0,2082,0.000000,5045,5045,0.000000,true
glyph32:U+0069,glyph,production,2123,5000,ClassCap,true,1455,2,1453,0.001375,3510,3510,0.000000,true
glyph32:U+006A,glyph,production,4293,5000,ClassCap,true,2597,0,2597,0.000000,7523,7523,0.000000,true
glyph32:U+006B,glyph,production,1460,5000,ClassCap,true,1306,0,1306,0.000000,2517,2517,0.000000,true
glyph32:U+006C,glyph,production,323,5000,ClassCap,true,467,1,466,0.002141,522,522,0.000000,true
glyph32:U+006D,glyph,production,5289,5000,ClassCap,true,2856,0,2856,0.000000,9624,9624,0.000000,true
glyph32:U+006E,glyph,production,2264,5000,ClassCap,true,1631,8,1623,0.004905,3759,3759,0.000000,true
glyph32:U+006F,glyph,production,5716,5000,ClassCap,true,2947,0,2947,0.000000,10262,10262,0.000000,true
glyph32:U+0070,glyph,production,5406,5000,ClassCap,true,2901,0,2901,0.000000,9922,9922,0.000000,true
glyph32:U+0071,glyph,production,5046,5000,ClassCap,true,2802,0,2802,0.000000,9172,9172,0.000000,true
glyph32:U+0072,glyph,production,2456,5000,ClassCap,true,1804,5,1799,0.002772,4180,4180,0.000000,true
glyph32:U+0073,glyph,production,6929,5000,ClassCap,true,3201,0,3201,0.000000,12680,12680,0.000000,true
glyph32:U+0074,glyph,production,2421,5000,ClassCap,true,1796,3,1793,0.001670,4109,4109,0.000000,true
glyph32:U+0075,glyph,production,2493,5000,ClassCap,true,1809,2,1807,0.001106,4153,4153,0.000000,true
glyph32:U+0076,glyph,production,1115,5000,ClassCap,true,1182,9,1173,0.007614,1760,1760,0.000000,true
glyph32:U+0077,glyph,production,3663,5000,ClassCap,true,2492,1,2491,0.000401,6602,6602,0.000000,true
glyph32:U+0078,glyph,production,343,5000,ClassCap,true,620,1,619,0.001613,639,639,0.000000,true
glyph32:U+0079,glyph,production,3530,5000,ClassCap,true,2436,0,2436,0.000000,6403,6403,0.000000,true
glyph32:U+007A,glyph,production,255,5000,ClassCap,true,459,0,459,0.000000,393,393,0.000000,true
glyph32:U+007B,glyph,production,4598,5000,ClassCap,true,2694,0,2694,0.000000,8205,8205,0.000000,true
glyph32:U+007C,glyph,production,119,5000,Quiesced,false,111,0,111,0.000000,133,133,0.000000,false
glyph32:U+007D,glyph,production,4598,5000,ClassCap,true,2688,0,2688,0.000000,8215,8215,0.000000,true
glyph32:U+007E,glyph,production,5093,5000,ClassCap,true,2812,0,2812,0.000000,9370,9370,0.000000,true
psychedelic,psychedelic,production,102,5000,ClassCap,true,946,8,938,0.008457,766,766,0.000000,true
shader:cosine_palette,shader,production,40,2000,ClassCap,true,474,0,474,0.000000,296,296,0.000000,true
shader:domain_warp_fbm,shader,production,84,5000,ClassCap,true,1245,13,1232,0.010442,444,444,0.000000,true
shader:gyroid_slice,shader,production,44,2000,Quiesced,false,104,0,104,0.000000,938,938,0.000000,false
shader:julia_set,shader,production,122,5000,ClassCap,true,819,28,791,0.034188,716,716,0.000000,true
shader:kaleidoscope_fold,shader,production,46,2000,Quiesced,false,57,0,57,0.000000,554,554,0.000000,false
shader:mandelbrot_distance,shader,production,152,5000,ClassCap,true,415,0,415,0.000000,576,576,0.000000,true
shader:metaballs,shader,production,62,5000,ClassCap,true,286,0,286,0.000000,158,158,0.000000,true
shader:plasma,shader,production,41,2000,ClassCap,true,336,0,336,0.000000,363,363,0.000000,true
shader:smooth_min_scene,shader,production,43,2000,ClassCap,true,160,0,160,0.000000,136,136,0.000000,true
shader:smoothstep_vignette,shader,production,64,5000,Quiesced,false,82,3,79,0.036585,161,161,0.000000,false
shader:star_sdf,shader,production,66,5000,ClassCap,true,632,0,632,0.000000,169,169,0.000000,true
shader:torus_slice,shader,production,42,2000,ClassCap,true,166,0,166,0.000000,141,141,0.000000,true
synth_d3_s0,synthetic,production,19,2000,Quiesced,false,17,0,17,0.000000,163,163,0.000000,false
synth_d3_s1,synthetic,production,30,2000,Quiesced,false,18,0,18,0.000000,361,361,0.000000,false
synth_d3_s2,synthetic,production,14,2000,Quiesced,false,12,0,12,0.000000,318,318,0.000000,false
synth_d3_s3,synthetic,production,30,2000,Quiesced,false,22,0,22,0.000000,325,325,0.000000,false
synth_d3_s4,synthetic,production,24,2000,Quiesced,false,31,0,31,0.000000,188,188,0.000000,false
synth_d3_s5,synthetic,production,18,2000,Quiesced,false,18,0,18,0.000000,40,40,0.000000,false
synth_d3_s6,synthetic,production,42,2000,Quiesced,false,78,0,78,0.000000,240,240,0.000000,false
synth_d3_s7,synthetic,production,6,500,Quiesced,false,5,0,5,0.000000,219,219,0.000000,false
synth_d3_s8,synthetic,production,9,500,Quiesced,false,8,0,8,0.000000,98,98,0.000000,false
synth_d3_s9,synthetic,production,14,2000,Quiesced,false,12,0,12,0.000000,33,33,0.000000,false
synth_d3_s10,synthetic,production,20,2000,Quiesced,false,20,0,20,0.000000,90,90,0.000000,false
synth_d3_s11,synthetic,production,16,2000,Quiesced,false,22,0,22,0.000000,232,232,0.000000,false
synth_d3_s12,synthetic,production,13,2000,Quiesced,false,10,0,10,0.000000,149,149,0.000000,false
synth_d3_s13,synthetic,production,16,2000,Quiesced,false,12,0,12,0.000000,280,280,0.000000,false
synth_d3_s14,synthetic,production,26,2000,Quiesced,false,19,0,19,0.000000,235,235,0.000000,false
synth_d3_s15,synthetic,production,13,2000,Quiesced,false,10,0,10,0.000000,208,208,0.000000,false
synth_d3_s16,synthetic,production,21,2000,Quiesced,false,19,0,19,0.000000,153,153,0.000000,false
synth_d3_s17,synthetic,production,37,2000,Quiesced,false,26,0,26,0.000000,400,400,0.000000,false
synth_d3_s18,synthetic,production,16,2000,Quiesced,false,12,0,12,0.000000,343,343,0.000000,false
synth_d3_s19,synthetic,production,26,2000,Quiesced,false,18,1,17,0.055556,614,486,-0.208469,false
synth_d3_s20,synthetic,production,9,500,Quiesced,false,9,0,9,0.000000,176,176,0.000000,false
synth_d3_s21,synthetic,production,17,2000,Quiesced,false,16,0,16,0.000000,302,302,0.000000,false
synth_d3_s22,synthetic,production,8,500,Quiesced,false,6,0,6,0.000000,81,81,0.000000,false
synth_d3_s23,synthetic,production,35,2000,ClassCap,true,333,0,333,0.000000,132,132,0.000000,true
synth_d3_s24,synthetic,production,17,2000,Quiesced,false,17,0,17,0.000000,126,126,0.000000,false
synth_d3_s25,synthetic,production,7,500,Quiesced,false,5,0,5,0.000000,237,237,0.000000,false
synth_d3_s26,synthetic,production,10,500,Quiesced,false,7,0,7,0.000000,83,83,0.000000,false
synth_d3_s27,synthetic,production,35,2000,Quiesced,false,29,0,29,0.000000,455,455,0.000000,false
synth_d3_s28,synthetic,production,29,2000,Quiesced,false,29,0,29,0.000000,280,280,0.000000,false
synth_d3_s29,synthetic,production,26,2000,Quiesced,false,23,0,23,0.000000,360,360,0.000000,false
synth_d3_s30,synthetic,production,12,2000,Quiesced,false,11,0,11,0.000000,104,104,0.000000,false
synth_d3_s31,synthetic,production,30,2000,Quiesced,false,19,0,19,0.000000,122,122,0.000000,false
synth_d3_s32,synthetic,production,39,2000,Quiesced,false,33,0,33,0.000000,324,324,0.000000,false
synth_d3_s33,synthetic,production,21,2000,Quiesced,false,27,0,27,0.000000,33,33,0.000000,false
synth_d3_s34,synthetic,production,9,500,Quiesced,false,8,0,8,0.000000,25,25,0.000000,false
synth_d3_s35,synthetic,production,35,2000,Quiesced,false,26,0,26,0.000000,430,430,0.000000,false
synth_d3_s36,synthetic,production,28,2000,Quiesced,false,20,0,20,0.000000,446,446,0.000000,false
synth_d3_s37,synthetic,production,12,2000,Quiesced,false,9,0,9,0.000000,172,172,0.000000,false
synth_d3_s38,synthetic,production,14,2000,Quiesced,false,10,0,10,0.000000,99,99,0.000000,false
synth_d3_s39,synthetic,production,15,2000,Quiesced,false,13,0,13,0.000000,43,43,0.000000,false
synth_d5_s0,synthetic,production,22,2000,Quiesced,false,21,0,21,0.000000,603,603,0.000000,false
synth_d5_s1,synthetic,production,58,5000,Quiesced,false,105,0,105,0.000000,441,441,0.000000,false
synth_d5_s2,synthetic,production,50,2000,Quiesced,false,42,0,42,0.000000,532,532,0.000000,false
synth_d5_s3,synthetic,production,84,5000,Quiesced,false,177,0,177,0.000000,959,959,0.000000,false
synth_d5_s4,synthetic,production,63,5000,Quiesced,false,74,0,74,0.000000,388,388,0.000000,false
synth_d5_s5,synthetic,production,6,500,Quiesced,false,6,0,6,0.000000,242,242,0.000000,false
synth_d5_s6,synthetic,production,55,5000,Quiesced,false,40,0,40,0.000000,394,394,0.000000,false
synth_d5_s7,synthetic,production,51,5000,Quiesced,false,74,0,74,0.000000,906,906,0.000000,false
synth_d5_s8,synthetic,production,71,5000,Quiesced,false,81,0,81,0.000000,652,652,0.000000,false
