name,category,node_count,classes,reachable_classes,tree_dag,tree_tree,sharing_dag,sharing_tree,chosen_dag,sharing_changed_term,sharing_gain,dag_delta_pct,treeopt_dag,exact_status,exact_dag,gap_closed_frac,tree_arm_ns,scoped_ns
glyph16:U+0074,glyph,2421,4905,1796,4109,21246,4101,21648,4101,true,8,-0.1947,4109,UNSOLVED,4101,NaN,1379333,3078541
glyph16:U+0075,glyph,2493,4898,1809,4153,22609,4146,23279,4146,true,7,-0.1686,4153,UNSOLVED,4146,NaN,1330709,3020667
glyph16:U+0076,glyph,1115,4224,1180,1760,7420,1752,8572,1752,true,8,-0.4545,1760,UNSOLVED,1752,NaN,999042,2308083
glyph16:U+0077,glyph,3663,4937,2492,6602,46916,6669,59484,6602,true,0,0.0000,6589,UNSOLVED,6589,NaN,1625208,3755916
glyph16:U+0078,glyph,343,3589,616,639,963,683,991,639,true,0,0.0000,639,UNSOLVED,639,NaN,648041,1422416
glyph16:U+0079,glyph,3530,4915,2436,6403,42411,6371,63856,6371,true,32,-0.4998,6283,UNSOLVED,6283,NaN,1598250,3719958
glyph16:U+007A,glyph,255,3358,458,393,611,401,619,393,true,0,0.0000,393,UNSOLVED,393,NaN,556917,1212917
glyph16:U+007B,glyph,4598,4984,2694,8205,53436,8288,82269,8205,true,0,0.0000,8169,UNSOLVED,8169,NaN,1689042,3775833
glyph16:U+007C,glyph,119,1044,111,133,232,133,232,133,true,0,0.0000,133,OPTIMAL,133,NaN,117917,255334
glyph16:U+007D,glyph,4598,4983,2688,8215,53436,8290,81947,8215,true,0,0.0000,8175,UNSOLVED,8175,NaN,1704916,3790083
glyph16:U+007E,glyph,5093,4996,2812,9370,67223,9285,98045,9285,true,85,-0.9072,9338,UNSOLVED,9285,NaN,1764875,3884334
glyph32:U+0020,glyph,1,1,1,0,0,0,0,0,false,0,0.0000,0,OPTIMAL,0,NaN,625,1166
glyph32:U+0021,glyph,1927,4703,1352,3125,15426,3144,17704,3125,true,0,0.0000,3125,UNSOLVED,3125,NaN,1104041,2534625
glyph32:U+0022,glyph,199,2888,418,310,501,310,501,310,true,0,0.0000,310,UNSOLVED,310,NaN,450000,964875
glyph32:U+0023,glyph,615,4309,819,1014,1771,1058,1799,1014,true,0,0.0000,1014,UNSOLVED,1014,NaN,833625,1882250
glyph32:U+0024,glyph,7185,5000,3246,13131,138737,13130,139069,13130,true,1,-0.0076,13131,UNSOLVED,13130,NaN,2007875,4325000
glyph32:U+0025,glyph,7327,5000,3186,12640,141308,12643,155322,12640,true,0,0.0000,12635,UNSOLVED,12635,NaN,2034000,4378333
glyph32:U+0026,glyph,9420,5000,4308,17979,288778,17979,288778,17979,false,0,0.0000,17979,UNSOLVED,17979,NaN,2364375,5040250
glyph32:U+0027,glyph,127,3562,578,171,270,171,270,171,true,0,0.0000,171,UNSOLVED,171,NaN,580000,1283334
glyph32:U+0028,glyph,1855,4707,1376,3039,14773,3049,17453,3039,true,0,0.0000,3039,UNSOLVED,3039,NaN,1157584,2617833
glyph32:U+0029,glyph,1855,4707,1375,3039,14773,3049,17453,3039,true,0,0.0000,3039,UNSOLVED,3039,NaN,1165167,2639750
glyph32:U+002A,glyph,559,4480,994,1143,1676,1143,1676,1143,true,0,0.0000,1143,UNSOLVED,1143,NaN,910083,2067042
