expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
train_b20_f00_01692,train,classical,51,200,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,400,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,800,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,1600,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,3200,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,6400,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,12800,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,25600,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,51200,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,102400,95,910,quiesced,95
train_b20_f00_01692,train,classical,51,204800,95,910,quiesced,95
train_b14_f03_01168,train,classical,52,25,25,948,quiesced,151
train_b14_f03_01168,train,classical,52,50,51,948,quiesced,151
train_b14_f03_01168,train,classical,52,100,100,944,quiesced,151
train_b14_f03_01168,train,classical,52,200,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,400,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,800,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,1600,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,3200,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,6400,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,12800,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,25600,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,51200,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,102400,151,944,quiesced,151
train_b14_f03_01168,train,classical,52,204800,151,944,quiesced,151
dev_b16_f06_00421,dev,classical,53,25,25,1104,quiesced,523
dev_b16_f06_00421,dev,classical,53,50,59,1095,quiesced,523
dev_b16_f06_00421,dev,classical,53,100,111,1083,quiesced,523
dev_b16_f06_00421,dev,classical,53,200,201,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,400,406,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,800,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,1600,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,3200,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,6400,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,12800,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,25600,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,51200,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,102400,523,725,quiesced,523
dev_b16_f06_00421,dev,classical,53,204800,523,725,quiesced,523
train_b18_f01_01478,train,classical,53,25,29,1277,quiesced,2561
train_b18_f01_01478,train,classical,53,50,70,1000347,quiesced,2561
train_b18_f01_01478,train,classical,53,100,127,1000347,quiesced,2561
train_b18_f01_01478,train,classical,53,200,213,1277,quiesced,2561
train_b18_f01_01478,train,classical,53,400,413,546,quiesced,2561
train_b18_f01_01478,train,classical,53,800,868,536,quiesced,2561
train_b18_f01_01478,train,classical,53,1600,1657,536,quiesced,2561
train_b18_f01_01478,train,classical,53,3200,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,6400,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,12800,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,25600,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,51200,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,102400,2561,536,quiesced,2561
train_b18_f01_01478,train,classical,53,204800,2561,536,quiesced,2561
dev_b16_f05_00415,dev,classical,54,25,25,802,quiesced,23603
dev_b16_f05_00415,dev,classical,54,50,51,796,quiesced,23603
dev_b16_f05_00415,dev,classical,54,100,104,788,quiesced,23603
dev_b16_f05_00415,dev,classical,54,200,204,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,400,430,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,800,839,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,1600,1700,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,3200,3212,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,6400,6709,654,quiesced,23603
dev_b16_f05_00415,dev,classical,54,12800,13992,465,quiesced,23603
dev_b16_f05_00415,dev,classical,54,25600,23603,465,quiesced,23603
dev_b16_f05_00415,dev,classical,54,51200,23603,465,quiesced,23603
dev_b16_f05_00415,dev,classical,54,102400,23603,465,quiesced,23603
dev_b16_f05_00415,dev,classical,54,204800,23603,465,quiesced,23603
train_b15_f02_01268,train,classical,54,25,29,1620,quiesced,129409
train_b15_f02_01268,train,classical,54,50,66,1000132,quiesced,129409
train_b15_f02_01268,train,classical,54,100,111,1000132,quiesced,129409
train_b15_f02_01268,train,classical,54,200,205,357,quiesced,129409
train_b15_f02_01268,train,classical,54,400,479,269,quiesced,129409
train_b15_f02_01268,train,classical,54,800,847,269,quiesced,129409
train_b15_f02_01268,train,classical,54,1600,1745,269,quiesced,129409
train_b15_f02_01268,train,classical,54,3200,3425,269,quiesced,129409
train_b15_f02_01268,train,classical,54,6400,6508,269,quiesced,129409
train_b15_f02_01268,train,classical,54,12800,13511,269,quiesced,129409
train_b15_f02_01268,train,classical,54,25600,26262,269,quiesced,129409
train_b15_f02_01268,train,classical,54,51200,51921,269,quiesced,129409
train_b15_f02_01268,train,classical,54,102400,102567,269,quiesced,129409
train_b15_f02_01268,train,classical,54,204800,129409,269,quiesced,129409
dev_b09_f04_00292,dev,classical,55,25,25,3554,quiesced,29996
dev_b09_f04_00292,dev,classical,55,50,61,3538,quiesced,29996
dev_b09_f04_00292,dev,classical,55,100,103,3538,quiesced,29996
dev_b09_f04_00292,dev,classical,55,200,206,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,400,445,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,800,833,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,1600,1631,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,3200,3444,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,6400,6407,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,12800,13764,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,25600,25950,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,51200,29996,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,102400,29996,3184,quiesced,29996
dev_b09_f04_00292,dev,classical,55,204800,29996,3184,quiesced,29996
train_b18_f06_01544,train,classical,55,25,26,1437,quiesced,276
train_b18_f06_01544,train,classical,55,50,60,1434,quiesced,276
train_b18_f06_01544,train,classical,55,100,104,1430,quiesced,276
train_b18_f06_01544,train,classical,55,200,212,1255,quiesced,276
train_b18_f06_01544,train,classical,55,400,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,800,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,1600,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,3200,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,6400,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,12800,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,25600,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,51200,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,102400,276,1255,quiesced,276
train_b18_f06_01544,train,classical,55,204800,276,1255,quiesced,276
dev_b33_f06_00766,dev,classical,56,25,28,1406,quiesced,260
dev_b33_f06_00766,dev,classical,56,50,51,1403,quiesced,260
dev_b33_f06_00766,dev,classical,56,100,105,1399,quiesced,260
dev_b33_f06_00766,dev,classical,56,200,201,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,400,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,800,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,1600,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,3200,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,6400,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,12800,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,25600,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,51200,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,102400,260,674,quiesced,260
dev_b33_f06_00766,dev,classical,56,204800,260,674,quiesced,260
train_b18_f07_01564,train,classical,56,25,26,1484,quiesced,257
train_b18_f07_01564,train,classical,56,50,51,1476,quiesced,257
train_b18_f07_01564,train,classical,56,100,106,1476,quiesced,257
train_b18_f07_01564,train,classical,56,200,200,1116,quiesced,257
train_b18_f07_01564,train,classical,56,400,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,800,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,1600,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,3200,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,6400,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,12800,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,25600,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,51200,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,102400,257,1116,quiesced,257
train_b18_f07_01564,train,classical,56,204800,257,1116,quiesced,257
dev_b09_f06_00308,dev,classical,57,25,25,998,quiesced,283
dev_b09_f06_00308,dev,classical,57,50,54,998,quiesced,283
dev_b09_f06_00308,dev,classical,57,100,100,1000784,quiesced,283
dev_b09_f06_00308,dev,classical,57,200,211,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,400,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,800,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,1600,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,3200,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,6400,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,12800,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,25600,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,51200,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,102400,283,261,quiesced,283
dev_b09_f06_00308,dev,classical,57,204800,283,261,quiesced,283
train_b19_f06_01657,train,classical,57,25,26,1000290,app_budget,206648
train_b19_f06_01657,train,classical,57,50,52,2515,app_budget,206648
train_b19_f06_01657,train,classical,57,100,101,2515,app_budget,206648
train_b19_f06_01657,train,classical,57,200,201,1795,app_budget,206648
train_b19_f06_01657,train,classical,57,400,402,1780,app_budget,206648
train_b19_f06_01657,train,classical,57,800,800,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,1600,1766,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,3200,3271,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,6400,6472,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,12800,12946,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,25600,25601,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,51200,52461,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,102400,102444,1426,app_budget,206648
train_b19_f06_01657,train,classical,57,204800,206648,1426,app_budget,206648
dev_b22_f03_00494,dev,classical,58,25,25,1546,quiesced,1001
dev_b22_f03_00494,dev,classical,58,50,53,1546,quiesced,1001
dev_b22_f03_00494,dev,classical,58,100,100,1343,quiesced,1001
dev_b22_f03_00494,dev,classical,58,200,210,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,400,413,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,800,805,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,1600,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,3200,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,6400,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,12800,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,25600,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,51200,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,102400,1001,1158,quiesced,1001
dev_b22_f03_00494,dev,classical,58,204800,1001,1158,quiesced,1001
train_b15_f06_01323,train,classical,58,25,26,1071,quiesced,258
train_b15_f06_01323,train,classical,58,50,56,1068,quiesced,258
train_b15_f06_01323,train,classical,58,100,106,1064,quiesced,258
train_b15_f06_01323,train,classical,58,200,200,881,quiesced,258
train_b15_f06_01323,train,classical,58,400,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,800,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,1600,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,3200,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,6400,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,12800,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,25600,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,51200,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,102400,258,881,quiesced,258
train_b15_f06_01323,train,classical,58,204800,258,881,quiesced,258
train_b15_f02_01267,train,classical,59,25,26,1066,quiesced,277
train_b15_f02_01267,train,classical,59,50,54,1063,quiesced,277
train_b15_f02_01267,train,classical,59,100,100,1063,quiesced,277
train_b15_f02_01267,train,classical,59,200,203,698,quiesced,277
train_b15_f02_01267,train,classical,59,400,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,800,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,1600,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,3200,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,6400,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,12800,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,25600,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,51200,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,102400,277,698,quiesced,277
train_b15_f02_01267,train,classical,59,204800,277,698,quiesced,277
dev_b09_f02_00255,dev,classical,60,25,26,1236,quiesced,497
dev_b09_f02_00255,dev,classical,60,50,54,1230,quiesced,497
dev_b09_f02_00255,dev,classical,60,100,104,1230,quiesced,497
dev_b09_f02_00255,dev,classical,60,200,206,668,quiesced,497
dev_b09_f02_00255,dev,classical,60,400,404,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,800,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,1600,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,3200,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,6400,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,12800,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,25600,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,51200,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,102400,497,658,quiesced,497
dev_b09_f02_00255,dev,classical,60,204800,497,658,quiesced,497
train_b19_f02_01608,train,classical,60,25,25,1433,quiesced,294
train_b19_f02_01608,train,classical,60,50,62,1425,quiesced,294
train_b19_f02_01608,train,classical,60,100,103,1425,quiesced,294
train_b19_f02_01608,train,classical,60,200,212,499,quiesced,294
train_b19_f02_01608,train,classical,60,400,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,800,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,1600,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,3200,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,6400,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,12800,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,25600,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,51200,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,102400,294,499,quiesced,294
train_b19_f02_01608,train,classical,60,204800,294,499,quiesced,294
dev_b16_f07_00439,dev,classical,61,25,26,1670,quiesced,284
dev_b16_f07_00439,dev,classical,61,50,58,1664,quiesced,284
dev_b16_f07_00439,dev,classical,61,100,106,1656,quiesced,284
dev_b16_f07_00439,dev,classical,61,200,204,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,400,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,800,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,1600,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,3200,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,6400,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,12800,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,25600,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,51200,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,102400,284,1105,quiesced,284
dev_b16_f07_00439,dev,classical,61,204800,284,1105,quiesced,284
train_b19_f06_01653,train,classical,61,25,26,1879,quiesced,381
train_b19_f06_01653,train,classical,61,50,63,1873,quiesced,381
train_b19_f06_01653,train,classical,61,100,106,1865,quiesced,381
train_b19_f06_01653,train,classical,61,200,207,1121,quiesced,381
train_b19_f06_01653,train,classical,61,400,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,800,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,1600,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,3200,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,6400,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,12800,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,25600,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,51200,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,102400,381,1121,quiesced,381
train_b19_f06_01653,train,classical,61,204800,381,1121,quiesced,381
train_b13_f03_01053,train,classical,62,25,25,1000536,quiesced,392
train_b13_f03_01053,train,classical,62,50,57,1000536,quiesced,392
train_b13_f03_01053,train,classical,62,100,104,1000536,quiesced,392
train_b13_f03_01053,train,classical,62,200,204,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,400,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,800,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,1600,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,3200,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,6400,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,12800,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,25600,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,51200,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,102400,392,1000349,quiesced,392
train_b13_f03_01053,train,classical,62,204800,392,1000349,quiesced,392
dev_b22_f03_00499,dev,classical,63,25,27,2933,quiesced,2646
dev_b22_f03_00499,dev,classical,63,50,52,2933,quiesced,2646
dev_b22_f03_00499,dev,classical,63,100,103,2933,quiesced,2646
dev_b22_f03_00499,dev,classical,63,200,205,2933,quiesced,2646
dev_b22_f03_00499,dev,classical,63,400,406,2933,quiesced,2646
dev_b22_f03_00499,dev,classical,63,800,820,2109,quiesced,2646
