rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,102400,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,204800,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,25,28,1,1236,31,280,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,50,50,2,2622,31,280,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,100,101,3,4710,31,280,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,200,206,5,9151,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,400,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,800,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,1600,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,3200,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,6400,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,12800,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,25600,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,51200,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,102400,260,6,11507,31,99,quiesced,260
