rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,200,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,400,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,800,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,1600,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,3200,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,6400,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,12800,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,25600,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,51200,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,102400,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,204800,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,25,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,50,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,100,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,200,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,400,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,800,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,1600,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,3200,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,6400,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,12800,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,25600,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,51200,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,102400,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b11_f02_00928,train,blitz,9,204800,9,269,quiesced,9
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,25,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,50,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,100,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,200,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,400,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,800,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,1600,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,3200,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,6400,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,12800,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,25600,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,51200,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,102400,8,119,quiesced,8
base,62,e99af8402beaff5d,train_b32_f05_02879,train,blitz,9,204800,8,119,quiesced,8
