name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
glyph16:U+005E,glyph,production,199,2889,416,214,119.648,ClassCap,319,501,501,319,501,UNSOLVED,319,72,15001600,3650.8,NaN,0,0,0,0,true,0,926,0.000000,0.000000
glyph16:U+005F,glyph,production,119,2992,318,152,83.824,ClassCap,129,216,9223372036854775938,129,216,OPTIMAL,129,129,55789,17.1,1.000000,0,0,19,19,false,9223372036854775722,944,0.000000,0.000000
glyph16:U+0060,glyph,production,1722,4689,1342,383,202.119,ClassCap,2827,13614,13614,2827,13614,UNSOLVED,2827,154,10440704,4000.2,NaN,0,0,3,3,true,0,1984,0.000000,0.000000
glyph16:U+0061,glyph,production,5743,5000,3007,437,154.591,ClassCap,10612,88199,18446744073709551615,10600,86901,UNSOLVED,10600,252,6111232,4000.8,NaN,12,0,12,12,false,-88200,1391,0.001131,0.014717
glyph16:U+0062,glyph,production,5129,4995,2824,528,191.805,ClassCap,9434,65528,18446744073709551615,9394,62530,UNSOLVED,9394,194,9527296,4000.1,NaN,40,0,12,12,false,-65529,1408,0.004240,0.045751
glyph16:U+0063,glyph,production,4671,4984,2700,565,219.110,ClassCap,8419,57148,18446744073709551615,8383,56908,UNSOLVED,8383,186,7104512,4000.1,NaN,36,0,12,12,false,-57149,1369,0.004276,0.004200
glyph16:U+0064,glyph,production,5864,5000,3022,436,151.825,ClassCap,10763,92357,18446744073709551615,10755,91483,UNSOLVED,10755,248,11735040,4000.4,NaN,8,0,11,11,false,-92358,1393,0.000743,0.009463
glyph16:U+0065,glyph,production,4872,4989,2751,539,204.543,ClassCap,8766,59599,18446744073709551615,8738,59367,UNSOLVED,8738,190,9080832,4000.7,NaN,28,0,12,12,false,-59600,1400,0.003194,0.003893
glyph16:U+0066,glyph,production,2364,4880,1682,480,247.414,ClassCap,3955,20783,20783,3955,20783,UNSOLVED,3955,161,5746688,4000.8,NaN,0,0,4,4,true,0,1590,0.000000,0.000000
glyph16:U+0067,glyph,production,7009,5000,3208,240,76.422,ClassCap,12799,135627,18446744073709551615,12799,135627,UNSOLVED,12799,304,15001600,3813.1,NaN,0,0,9,9,false,-135628,1511,0.000000,0.000000
glyph16:U+0068,glyph,production,2931,4717,2082,634,314.661,ClassCap,5045,34505,18446744073709551615,5036,31276,UNSOLVED,5036,173,4974592,4000.3,NaN,9,0,15,15,false,-34506,1040,0.001784,0.093581
glyph16:U+0069,glyph,production,2123,4727,1455,414,217.069,ClassCap,3510,16899,16899,3510,16899,UNSOLVED,3510,153,4640768,4001.0,NaN,0,0,4,4,true,0,1774,0.000000,0.000000
glyph16:U+006A,glyph,production,4293,4971,2597,611,254.510,ClassCap,7523,50935,18446744073709551615,7463,50651,UNSOLVED,7463,189,7749632,4001.0,NaN,60,0,11,11,false,-50936,1267,0.007976,0.005576
glyph16:U+006B,glyph,production,1460,4460,1306,316,180.326,ClassCap,2517,9653,9653,2517,9653,UNSOLVED,2517,157,5961728,4001.4,NaN,0,0,8,8,true,0,1627,0.000000,0.000000
glyph16:U+006C,glyph,production,323,3007,465,201,114.683,ClassCap,522,844,18446744073709551615,522,844,UNSOLVED,522,81,13023232,4000.7,NaN,0,0,73,73,false,-845,887,0.000000,0.000000
glyph16:U+006D,glyph,production,5289,4998,2856,513,182.469,ClassCap,9624,72339,18446744073709551615,9611,61210,UNSOLVED,9611,216,10450944,4000.7,NaN,13,0,15,15,false,-72340,1413,0.001351,0.153845
glyph16:U+006E,glyph,production,2264,4826,1631,462,239.490,ClassCap,3759,20193,20193,3759,20193,UNSOLVED,3759,161,6006784,4000.7,NaN,0,0,4,4,true,0,1643,0.000000,0.000000
glyph16:U+006F,glyph,production,5716,5000,2947,486,170.120,ClassCap,10262,81341,18446744073709551615,10226,77949,UNSOLVED,10226,216,7411712,4000.4,NaN,36,0,10,10,false,-81342,1399,0.003508,0.041701
glyph16:U+0070,glyph,production,5406,4999,2901,497,176.562,ClassCap,9922,74045,18446744073709551615,9882,70061,UNSOLVED,9882,212,15001600,3978.7,NaN,40,0,13,13,false,-74046,1405,0.004031,0.053805
glyph16:U+0071,glyph,production,5046,4992,2802,540,199.975,ClassCap,9172,60785,18446744073709551615,9160,59789,UNSOLVED,9160,196,10063872,4000.3,NaN,12,0,11,11,false,-60786,1392,0.001308,0.016386
glyph16:U+0072,glyph,production,2456,4912,1804,543,270.398,ClassCap,4180,21630,21630,4180,21630,UNSOLVED,4180,161,8861696,4000.3,NaN,0,0,5,5,true,0,1403,0.000000,0.000000
glyph16:U+0073,glyph,production,6929,5000,3201,252,81.540,ClassCap,12680,135729,18446744073709551615,12680,135729,UNSOLVED,12680,292,9007104,4000.2,NaN,0,0,9,9,false,-135730,1497,0.000000,0.000000
glyph16:U+0074,glyph,production,2421,4905,1796,539,269.031,ClassCap,4109,21246,21246,4109,21246,UNSOLVED,4109,170,9981952,4000.7,NaN,0,0,3,3,true,0,1447,0.000000,0.000000
glyph16:U+0075,glyph,production,2493,4898,1809,549,273.951,ClassCap,4153,22609,22609,4153,22609,UNSOLVED,4153,166,5371904,4000.7,NaN,0,0,3,3,true,0,1432,0.000000,0.000000
glyph16:U+0076,glyph,production,1115,4236,1182,425,222.645,ClassCap,1760,7420,7420,1760,7420,UNSOLVED,1760,145,4476928,4000.1,NaN,0,0,6,6,true,0,1302,0.000000,0.000000
glyph16:U+0077,glyph,production,3663,4937,2492,592,270.069,ClassCap,6602,46916,18446744073709551615,6589,39718,UNSOLVED,6589,189,8294400,4000.1,NaN,13,0,16,16,false,-46917,1167,0.001969,0.153423
glyph16:U+0078,glyph,production,343,3590,616,244,133.408,ClassCap,639,963,18446744073709551615,639,963,UNSOLVED,639,85,13824000,4000.2,NaN,0,0,48,48,false,-964,1127,0.000000,0.000000
glyph16:U+0079,glyph,production,3530,4915,2436,558,273.551,ClassCap,6403,42411,18446744073709551615,6283,42031,UNSOLVED,6283,185,5556224,4000.7,NaN,120,0,13,13,false,-42412,1136,0.018741,0.008960
glyph16:U+007A,glyph,production,255,3358,458,237,122.788,ClassCap,393,611,13835058055282164135,393,611,UNSOLVED,393,72,9605120,4000.9,NaN,0,0,45,45,false,-4611686018427388092,1091,0.000000,0.000000
glyph16:U+007B,glyph,production,4598,4984,2694,570,224.262,ClassCap,8205,53436,18446744073709551615,8169,53180,UNSOLVED,8169,198,7411712,4000.8,NaN,36,0,15,15,false,-53437,1344,0.004388,0.004791
glyph16:U+007C,glyph,production,119,1043,111,44,26.156,Quiesced,133,232,4611686018427388081,133,232,OPTIMAL,133,133,633264,323.7,1.000000,0,0,15,15,false,4611686018427387849,346,0.000000,0.000000
glyph16:U+007D,glyph,production,4598,4983,2688,570,224.734,ClassCap,8215,53436,18446744073709551615,8175,53172,UNSOLVED,8175,198,7274496,4000.1,NaN,40,0,13,13,false,-53437,1345,0.004869,0.004940
glyph16:U+007E,glyph,production,5093,4996,2812,535,194.095,ClassCap,9370,67223,18446744073709551615,9338,65033,UNSOLVED,9338,192,9529344,4000.7,NaN,32,0,10,10,false,-67224,1415,0.003415,0.032578
glyph32:U+0020,glyph,production,1,1,1,0,0.000,Quiesced,0,0,0,0,0,OPTIMAL,0,0,0,0.0,1.000000,0,0,0,0,true,0,0,0.000000,0.000000
glyph32:U+0021,glyph,production,1927,4703,1352,380,199.683,ClassCap,3125,15426,15426,3125,15426,UNSOLVED,3125,154,4612096,4001.2,NaN,0,0,3,3,true,0,2025,0.000000,0.000000
